x + 18
[1, 0, 0, 0, 0, 0, 0, 0]
[1, 0, 15, 0, 5, 0, 7, 0]
[1, 0, 17, 0, 9, 0, 13, 0]
[1, 0, 19, 0, 13, 0, 19, 0]
[1, 0, 11, 0, 27, 0, 25, 0]
[1, 0, 7, 0, 19, 0, 13, 0]
[1, 0, 21, 0, 17, 0, 25, 0]
[1, 0, 27, 0, 29, 0, 13, 0]
[1, 0, 25, 0, 25, 0, 7, 0]
[1, 0, 5, 0, 15, 0, 7, 0]
[1, 0, 13, 0, 1, 0, 1, 0]
[1, 0, 1, 0, 7, 0, 25, 0]
[1, 0, 9, 0, 23, 0, 19, 0]
[1, 0, 3, 0, 11, 0, 1, 0]
[1, 0, 29, 0, 3, 0, 19, 0]
[1, 0, 23, 0, 21, 0, 1, 0]
[1, 0, 27, 0, 9, 0, 3, 0]
[1, 0, 7, 0, 29, 0, 3, 0]
[1, 0, 29, 0, 13, 0, 9, 0]
[1, 0, 11, 0, 7, 0, 15, 0]
[1, 0, 25, 0, 5, 0, 27, 0]
[1, 0, 23, 0, 1, 0, 21, 0]
[1, 0, 17, 0, 19, 0, 3, 0]
[1, 0, 3, 0, 21, 0, 21, 0]
[1, 0, 13, 0, 11, 0, 21, 0]
[1, 0, 9, 0, 3, 0, 9, 0]
[1, 0, 21, 0, 27, 0, 15, 0]
[1, 0, 5, 0, 25, 0, 27, 0]
[1, 0, 1, 0, 17, 0, 15, 0]
[1, 0, 19, 0, 23, 0, 9, 0]
[1, 0, 15, 0, 15, 0, 27, 0]
[1, 0, 20, 0, 25, 0, 12, 0]
[1, 0, 8, 0, 1, 0, 6, 0]
[1, 0, 30, 0, 15, 0, 12, 0]
[1, 0, 12, 0, 9, 0, 18, 0]
[1, 0, 10, 0, 5, 0, 12, 0]
[1, 0, 16, 0, 17, 0, 30, 0]
[1, 0, 24, 0, 3, 0, 24, 0]
[1, 0, 18, 0, 21, 0, 6, 0]
[1, 0, 26, 0, 7, 0, 30, 0]
[1, 0, 28, 0, 11, 0, 6, 0]
[1, 0, 6, 0, 27, 0, 30, 0]
[1, 0, 4, 0, 23, 0, 24, 0]
[1, 0, 14, 0, 13, 0, 24, 0]
[1, 0, 2, 0, 19, 0, 18, 0]
[1, 0, 22, 0, 29, 0, 18, 0]
[1, 0, 9, 30, 7, 11, 4, 0]
[1, 0, 3, 21, 25, 26, 16, 0]
[1, 0, 13, 21, 15, 6, 16, 0]
[1, 0, 13, 6, 15, 21, 16, 0]
[1, 0, 29, 15, 17, 16, 4, 0]
[1, 0, 1, 18, 21, 21, 10, 0]
[1, 0, 19, 15, 27, 6, 4, 0]
[1, 0, 11, 18, 11, 1, 10, 0]
[1, 0, 17, 27, 23, 16, 28, 0]
[1, 0, 5, 24, 29, 1, 22, 0]
[1, 0, 7, 27, 3, 6, 28, 0]
[1, 0, 21, 18, 1, 11, 10, 0]
[1, 0, 9, 15, 7, 26, 4, 0]
[1, 0, 29, 30, 17, 1, 4, 0]
[1, 0, 15, 9, 19, 26, 22, 0]
[1, 0, 7, 12, 3, 21, 28, 0]
[1, 0, 11, 3, 11, 16, 10, 0]
[1, 0, 27, 12, 13, 11, 28, 0]
[1, 0, 21, 3, 1, 26, 10, 0]
[1, 0, 23, 6, 5, 1, 16, 0]
[1, 0, 19, 30, 27, 21, 4, 0]
[1, 0, 27, 27, 13, 26, 28, 0]
[1, 0, 15, 24, 19, 11, 22, 0]
[1, 0, 17, 12, 23, 1, 28, 0]
[1, 0, 23, 21, 5, 16, 16, 0]
[1, 0, 3, 6, 25, 11, 16, 0]
[1, 0, 25, 9, 9, 6, 22, 0]
[1, 0, 1, 3, 21, 6, 10, 0]
[1, 0, 5, 9, 29, 16, 22, 0]
[1, 0, 25, 24, 9, 21, 22, 0]
[1, 0, 16, 7, 11, 25, 17, 0]
[1, 0, 2, 16, 13, 20, 5, 0]
[1, 0, 22, 16, 23, 10, 5, 0]
[1, 0, 30, 13, 9, 15, 29, 0]
[1, 0, 26, 22, 1, 20, 17, 0]
[1, 0, 14, 4, 7, 20, 11, 0]
[1, 0, 8, 10, 25, 20, 23, 0]
[1, 0, 20, 28, 19, 20, 29, 0]
[1, 0, 6, 22, 21, 30, 17, 0]
[1, 0, 4, 4, 17, 10, 11, 0]
[1, 0, 4, 19, 17, 25, 11, 0]
[1, 0, 24, 19, 27, 15, 11, 0]
[1, 0, 28, 10, 5, 10, 23, 0]
[1, 0, 16, 22, 11, 10, 17, 0]
[1, 0, 14, 19, 7, 5, 11, 0]
[1, 0, 18, 10, 15, 30, 23, 0]
[1, 0, 30, 28, 9, 30, 29, 0]
[1, 0, 6, 7, 21, 15, 17, 0]
[1, 0, 18, 25, 15, 15, 23, 0]
[1, 0, 8, 25, 25, 5, 23, 0]
[1, 0, 10, 28, 29, 10, 29, 0]
[1, 0, 24, 4, 27, 30, 11, 0]
[1, 0, 26, 7, 1, 5, 17, 0]
[1, 0, 10, 13, 29, 25, 29, 0]
[1, 0, 22, 1, 23, 25, 5, 0]
[1, 0, 2, 1, 13, 5, 5, 0]
[1, 0, 12, 1, 3, 15, 5, 0]
[1, 0, 28, 25, 5, 25, 23, 0]
[1, 0, 12, 16, 3, 30, 5, 0]
[1, 0, 20, 13, 19, 5, 29, 0]
